"","mem","trans","desc","date_diff","date_var","amt","cat","discret","sub","pred"
"1000616411507718.18","1000616411507718","100061644073876630","debitpinpurchasecentralpurchasingllcvallejoca","5.01",NA,0.74,"General Merchandise",TRUE,FALSE,"Invalid"
"1000616411507718.19","1000616411507718","100061643986012813","debitpinpurchasewalmartvallejoca","2.79",16.44,64.21,"General Merchandise",TRUE,FALSE,"Invalid"
"1000616411507718.20","1000616411507718","100061643996627387","debitpinpurchasesafewaystorevallejoca","2",NA,17.83,"Groceries",TRUE,FALSE,"Invalid"
"1000616411507718.21","1000616411507718","100061643996627393","debitpinpurchasebritonsminimartvallevallejoca","2.5",5.4,13.4,"Groceries",TRUE,FALSE,"Invalid"
"1000616411507718.22","1000616411507718","100061643986012809","debitcardpurchasesqvapethegrapenapaca","3.24",0.36,8.57,"Groceries",TRUE,FALSE,"Invalid"
"1000616411507718.23","1000616411507718","100061644113706514","debitcardpurchasecarlsjrca","1.15",1.48,0.09,"Groceries",TRUE,FALSE,"Invalid"
"1000616411507718.24","1000616411507718","100061644182508921","debitpinpurchasetraderjoesnapaca","1.71",NA,0.2,"Groceries",TRUE,FALSE,"Invalid"
"1000616411507718.25","1000616411507718","100061643974891751","debitpinpurchasemichaelsstoresincvallejoca","3",9,22.31,"Hobbies",TRUE,FALSE,"Invalid"
"1000616411507718.26","1000616411507718","100061643979988972","debitpinpurchaseranchmarketnapaca","1.83",6.08,2.64,"Hobbies",TRUE,FALSE,"Invalid"
"1000616411507718.27","1000616411507718","100061644149432914","debitcardpurchaseranchmarketnapaca","0",0,2.35,"Hobbies",TRUE,FALSE,"Invalid"
"1000616411507718.28","1000616411507718","100061643968619724","debitpinpurchasethehomedepotvallejoca","2.33",13.52,20.91,"Home Improvement",TRUE,FALSE,"Invalid"
"1000616411507718.29","1000616411507718","100061643979988975","debitpinpurchasehancockfabricsvallejoca","4.93",1.71,6.53,"Home Improvement",TRUE,FALSE,"Invalid"
"1000616411507718.30","1000616411507718","100061643964012833","debitpinpurchaseorchardsupplynapaca","2.86",3.93,7.52,"Home Improvement",TRUE,FALSE,"Invalid"
"1000616411507718.31","1000616411507718","100061644001451153","achelectronicdebitallstateinscoinsprem","1.23",1.8,48.64,"Insurance",FALSE,FALSE,"Invalid"
"1000616411507718.32","1000616411507718","100061644014476636","interestfordays",NA,NA,NA,"0",FALSE,FALSE,"Invalid"
"1000616411507718.33","1000616411507718","100061643968619719","achelectronicdebitpaypalcreditconsdrs","1.95",1.65,134.44,"Other Expenses",TRUE,FALSE,"Invalid"
"1000616411507718.34","1000616411507718","100061643996627384","debitcardpurchasecosmoprofnapaca","1.52",1.17,29.93,"Personal Care",TRUE,FALSE,"Invalid"
"1000616411507718.35","1000616411507718","100061643983124019","debitpinpurchasenapavalleypetnapaca","8.72",NA,0.01,"Pets/Pet Care",TRUE,FALSE,"Invalid"
"1000616411507718.36","1000616411507718","100061643989590794","debitcardpurchaseburgerkingqnapaca","1.45",0.82,0.24,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.37","1000616411507718","100061643979988968","debitcardpurchasemcdonaldsfnapaca","6.29",NA,0,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.38","1000616411507718","100061643979988966","debitcardpurchasestarbucksnapanapaca","0.29",NA,8.47,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.39","1000616411507718","100061644005050982","debitcardpurchasemcdonaldsfvallejoca","4.07",0.09,2.22,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.40","1000616411507718","100061644067569830","debitcardpurchasekfcnapaca","0.89",0.39,0.22,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.41","1000616411507718","100061643986012807","debitcardpurchasetacobellvallejoca","2.79",9.81,2.09,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.42","1000616411507718","100061643974891034","debitpinpurchaseroadrunnerpetrvallejoca","2.5",4.63,10.07,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.43","1000616411507718","100061643996627382","debitpinpurchasemikesautoservicenapaca","1.14",NA,0.62,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.44","1000616411507718","100061644012067809","debitcardpurchasejackintheboqpsvallejoca","1.18",1.19,2.84,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.45","1000616411507718","100061644056258636","debitpinpurchaseelevennapaca","1.57",NA,1.43,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000616411507718.46","1000616411507718","100061643996627379","achelectronicdebitirsusatapymt","4.5",0.26,0,"Taxes",FALSE,FALSE,"Invalid"
"1000616411507718.47","1000616411507718","100061644017540893","achelectronicdebitfranchisetabopayments","4.29",0.04,0,"Taxes",FALSE,FALSE,"Valid"
"1000616411507718.48","1000616411507718","100061643986012804","achelectronicdebitcapitalonephonepymt","1.94",0.35,31.17,"Telephone Services",FALSE,FALSE,"Invalid"
"1000616411507718.49","1000616411507718","100061643954768360","transferfromsavingsonlinereference","1",2,20.93,"Transfers",FALSE,FALSE,"Invalid"
"1000616411507718.50","1000616411507718","100061643952567277","transfertocheckingonlinereference","1",2,20.93,"Transfers",FALSE,FALSE,"Invalid"
"1000616411507718.51","1000616411507718","100061643962342806","transferfromcheckingonlinereference","9.86",NA,22.74,"Transfers",FALSE,FALSE,"Invalid"
"1000616411507718.52","1000616411507718","100061643964012824","transfertosavingsonlinereference","9.86",NA,22.74,"Transfers",FALSE,FALSE,"Invalid"
"1000616411507718.53","1000616411507718","100061643968619710","achelectronicdebitdiscoverphonepay","4.43",0.37,43.75,"Transfers",FALSE,FALSE,"Invalid"
"1000616411507718.54","1000616411507718","100061643979988961","achelectronicdebitpaymentforamzstorecard","2",2.89,10.87,"Transfers",FALSE,FALSE,"Invalid"
"1000616411507718.55","1000616411507718","100061643989590790","achelectronicdebitredwoodcurcufer","0",NA,39.48,"Transfers",FALSE,FALSE,"Invalid"
"1000616411507718.56","1000616411507718","100061644001451149","achelectronicdebitsynchronybankccpymt","1.18",1.88,15.95,"Transfers",FALSE,FALSE,"Invalid"
"1000616411507718.57","1000616411507718","100061644032252394","achelectronicdebittionetworksusaepay","4.22",0.51,2.1,"Transfers",FALSE,FALSE,"Invalid"
